Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Adult,Alive,20.0305,90.293,NA,8.829,0,13.1141,0
PISY,Adult,Alive,22.961,89.1125,NA,9.94862,0,15.9414,0
PISY,Adult,Alive,19.7666,89.2312,NA,10.6296,0,17.8509,0
PISY,Adult,Alive,16.9879,88.4432,NA,11.4585,0,20.416,0
PISY,Adult,Alive,16.1926,93.3192,NA,11.5154,0,20.6031,0
PISY,Adult,Alive,19.6117,91.1245,NA,13.6626,0,29.1094,0
PISY,Sapling,Alive,20.336,99.5121,4.06855,2.89085,0,2.1505,NA
PISY,Adult,Alive,19.368,98.2853,NA,6.46669,0,8.1025,0
PISY,Adult,Alive,19.5658,98.0403,NA,7.52456,0,10.2111,0
PISY,Adult,Alive,16.6091,98.2385,NA,8.66285,0,12.723,0
PISY,Adult,Alive,22.9792,96.8435,NA,10.8628,0,18.5437,0
PISY,Adult,Alive,22.4277,99.2972,NA,11.4952,0,20.5364,0
PISY,Adult,Alive,16.959,96.077,NA,11.9197,0,21.9794,0
PISY,Adult,Alive,16.2104,98.9551,NA,12.1546,0,22.8194,0
PISY,Adult,Alive,19.9024,97.3983,NA,12.7164,0,24.964,0
PISY,Adult,Alive,30.5152,3.99375,NA,6.14807,0,7.504,0
PISY,Adult,Alive,24.9544,6.19886,NA,6.26774,0,7.72694,0
PISY,Adult,Alive,25.3059,3.2631,NA,6.35099,0,7.88335,0
PISY,Adult,Alive,31.7412,4.64938,NA,6.66862,0,8.49015,0
PISY,Adult,Alive,25.5094,4.20703,NA,7.37173,0,9.89409,0
PISY,Adult,Alive,27.994,6.15577,NA,9.64393,0,15.1364,0
PISY,Adult,Alive,30.7171,3.18243,NA,10.1827,0,16.5799,0
PISY,Adult,Alive,27.7928,6.1484,NA,10.3996,0,17.1879,0
PISY,Adult,Alive,26.9297,0.359937,NA,10.6582,0,17.935,0
PISY,Adult,Alive,29.1333,4.53299,NA,11.1767,0,19.5111,0
PISY,Adult,Alive,31.2,0.823997,NA,11.3887,0,20.1884,0
PISY,Adult,Alive,28.6616,0.703475,NA,12.0672,0,22.5032,0
PISY,Adult,Alive,24.5176,3.9073,NA,12.1454,0,22.7858,0
PISY,Snag,Alive,26.8285,5.36548,NA,14.0102,NA,30.8448,1
PISY,Sapling,Alive,31.7364,10.9652,3.64605,2.73218,0,1.91939,NA
PISY,Sapling,Alive,30.6161,10.3268,4.09019,2.89894,0,2.16234,NA
PISY,Sapling,Alive,25.3967,11.7336,6.31524,3.70796,0,3.37943,NA
PISY,Sapling,Alive,26.9385,14.5458,6.38545,3.73279,0,3.41784,NA
PISY,Sapling,Alive,31.787,8.50383,9.48531,4.78812,0,5.11346,NA
PISY,Adult,Alive,26.0592,14.5145,NA,6.32222,0,7.82917,0
PISY,Adult,Alive,26.0497,13.3457,NA,6.45833,0,8.0866,0
PISY,Adult,Alive,24.2646,15.4862,NA,6.50029,0,8.16654,0
PISY,Adult,Alive,25.011,14.3434,NA,6.58936,0,8.3372,0
PISY,Adult,Alive,31.578,8.22434,NA,6.61857,0,8.39344,0
PISY,Adult,Alive,31.0182,13.9543,NA,6.70173,0,8.55435,0
PISY,Adult,Alive,26.7142,8.32274,NA,6.77691,0,8.7008,0
