state_code,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498000,514000,517000,510000,505000,539000,559000,584000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,750000,769913,801644,828331,851595,867978,886160,904191,918259,931584,953306,967710,978195,993780,1012717,1027922,1039698,1051762,1067918,1079828,1094588,1112703,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561,1431603
ID,163000,176000,199000,216000,229000,246000,262000,277000,291000,311000,329000,343000,359000,371000,384000,394000,405000,413000,405000,424000,433000,435000,436000,436000,434000,436000,441000,447000,449000,447000,447000,454000,459000,464000,473000,481000,495000,507000,513000,521000,522000,501000,478000,500000,529000,507000,509000,522000,551000,570000,590000,589000,587000,596000,600000,618000,628000,642000,646000,657000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,713015,738753,763237,782074,807990,831982,856983,883469,910690,932627,947983,962204,973721,981869,990839,994051,990224,984997,985664,994416,1011882,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843,1634464,1654930
IL,4828000,4914000,4992000,5071000,5161000,5241000,5309000,5384000,5474000,5567000,5668000,5757000,5828000,5961000,6109000,6194000,6274000,6313000,6275000,6392000,6663000,6858000,6958000,7068000,7215000,7306000,7395000,7519000,7576000,7606000,7644000,7687000,7736000,7768000,7772000,7797000,7840000,7857000,7866000,7890000,7905000,7995000,8057000,7761000,7719000,7601000,8155000,8341000,8552000,8670000,8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837,11434702,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11446979,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552,12880580,12859995
IN,2518000,2541000,2567000,2594000,2614000,2635000,2663000,2679000,2677000,2678000,2713000,2751000,2785000,2824000,2857000,2873000,2897000,2910000,2880000,2906000,2947000,2976000,2965000,3042000,3086000,3119000,3148000,3191000,3212000,3226000,3242000,3257000,3281000,3304000,3319000,3332000,3348000,3374000,3386000,3403000,3433000,3483000,3507000,3449000,3440000,3427000,3702000,3779000,3877000,3958000,3967000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000,4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174,5490721,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5555097,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713,6596855,6619680
IA,2231000,2227000,2222000,2217000,2212000,2211000,2214000,2217000,2220000,2223000,2228000,2249000,2279000,2305000,2338000,2366000,2376000,2382000,2351000,2379000,2400000,2407000,2428000,2425000,2420000,2427000,2432000,2441000,2450000,2460000,2475000,2482000,2489000,2495000,2510000,2524000,2509000,2498000,2494000,2520000,2537000,2491000,2439000,2334000,2301000,2308000,2467000,2509000,2543000,2578000,2625000,2617000,2626000,2629000,2626000,2679000,2703000,2716000,2708000,2729000,2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739,2914018,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2779769,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2861025,2869413,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050295,3064904,3075935,3092341,3107126,3123899
KS,1473000,1490000,1505000,1498000,1527000,1555000,1576000,1612000,1629000,1658000,1692000,1684000,1671000,1663000,1662000,1687000,1727000,1748000,1729000,1756000,1769000,1779000,1799000,1808000,1807000,1825000,1836000,1836000,1850000,1867000,1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000,1788000,1765000,1760000,1796000,1779000,1731000,1805000,1853000,1892000,1925000,1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000,2142000,2160000,2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000,2249071,2246600,2256375,2265603,2269499,2280578,2301001,2320647,2335657,2350906,2369039,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2480683,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858949,2869965,2885966,2895801,2904021,2911641
KY,2148000,2162000,2177000,2191000,2205000,2220000,2234000,2249000,2263000,2278000,2299000,2324000,2347000,2374000,2395000,2401000,2411000,2421000,2425000,2413000,2421000,2436000,2450000,2480000,2531000,2520000,2545000,2551000,2567000,2606000,2623000,2652000,2676000,2698000,2722000,2748000,2768000,2784000,2800000,2825000,2859000,2824000,2797000,2693000,2631000,2597000,2761000,2803000,2817000,2849000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3220711,3298053,3335728,3371024,3416315,3467769,3529257,3573693,3609976,3641804,3664221,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3692584,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349838,4370038,4383465,4399583,4413457,4425092
LA,1384000,1412000,1440000,1467000,1495000,1523000,1551000,1579000,1607000,1634000,1667000,1695000,1709000,1727000,1740000,1755000,1799000,1795000,1746000,1756000,1813000,1847000,1871000,1903000,1939000,1972000,2005000,2039000,2064000,2086000,2105000,2124000,2155000,2178000,2202000,2228000,2246000,2257000,2285000,2334000,2370000,2484000,2546000,2565000,2508000,2429000,2556000,2579000,2596000,2634000,2697000,2769000,2842000,2866000,2883000,2946000,3032000,3115000,3155000,3208000,3260000,3287000,3345000,3377000,3446000,3496000,3550000,3581000,3603000,3619000,3644637,3710487,3761646,3788375,3820109,3886104,3950605,4014459,4068579,4137665,4223101,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219179,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4545581,4575972,4604744,4629284,4649676,4670724
ME,695000,699000,703000,709000,719000,723000,729000,731000,735000,740000,745000,751000,753000,763000,772000,774000,775000,777000,760000,762000,771000,775000,778000,781000,788000,792000,793000,796000,797000,797000,800000,807000,815000,821000,829000,836000,840000,842000,843000,846000,849000,852000,839000,806000,801000,800000,832000,854000,878000,903000,917000,916000,915000,913000,927000,934000,938000,943000,944000,957000,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,993722,1015390,1034292,1045655,1059040,1071995,1088412,1103578,1113566,1122563,1126860,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1231296,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327361,1327930,1328592,1328702,1330089,1329328
MD,1189000,1200000,1210000,1209000,1217000,1237000,1251000,1257000,1269000,1289000,1302000,1324000,1345000,1368000,1389000,1401000,1415000,1428000,1467000,1445000,1464000,1492000,1509000,1521000,1537000,1556000,1576000,1599000,1610000,1621000,1636000,1657000,1678000,1694000,1710000,1729000,1745000,1754000,1766000,1793000,1839000,1913000,1998000,2089000,2118000,2096000,2214000,2248000,2271000,2329000,2355000,2441000,2500000,2567000,2685000,2742000,2811000,2873000,2982000,3066000,3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000,3923897,4018324,4073499,4097974,4118815,4139096,4150539,4169595,4183603,4191160,4227643,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4797431,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5171634,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407,6006401
